GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G03130.1	5347.76809933843	-1.55492954424143	0.0229936128677532	-67.6244117522782	0	0
AT1G08380.1	10182.1194153432	-0.85824343476465	0.0171925244667849	-49.9195703587763	0	0
AT1G09200.1	1343.32461587245	1.93070307586588	0.0452917628291191	42.6281282790915	0	0
AT1G12090.1	2419.40118478877	-1.58781306843329	0.0330132437331683	-48.0962452907353	0	0
AT1G15820.1	16113.1938567808	-0.584089226513991	0.0152696290278669	-38.2516972382259	0	0
AT1G20340.1	22676.0089163101	-0.614215629866033	0.0147654665383386	-41.598118709708	0	0
AT1G21310.1	6327.21114180928	-1.85829047383361	0.0238834550748277	-77.8066015997904	0	0
AT1G29920.1	20740.9226058918	-0.771383939074315	0.0141664775077861	-54.4513580493353	0	0
AT1G29930.1	38868.4226909414	-0.710556565276478	0.01546363136236	-45.9501748732865	0	0
AT1G31330.1	9709.26385865559	-1.78482942420061	0.0195531577688541	-91.280878786936	0	0
AT1G32060.1	6195.32391684061	-0.982854306716261	0.0238516302850782	-41.2070074443147	0	0
AT1G37130.1	2801.42832190059	-1.4327718177449	0.0331150074283928	-43.2665407321165	0	0
AT1G42970.1	11781.9075933936	-0.738487847533824	0.017003172329523	-43.4323568109446	0	0
AT1G58290.1	1344.80033901776	-2.46542575081312	0.051678360932425	-47.7071196982608	0	0
AT1G60950.1	9845.21974732402	-2.08803875230874	0.0186946863438468	-111.69156379005	0	0
AT1G67740.1	12637.3789846654	-0.936367779124704	0.0215750592410486	-43.4004731418384	0	0
AT1G73330.1	1656.3259292194	-1.68665500739509	0.0400503791730021	-42.1133343110037	0	0
AT1G74470.1	6358.31223407904	-0.801854346690975	0.0210799025403694	-38.0388071128589	0	0
AT5G01530.1	14907.7063892622	-0.870883628962565	0.016675583221537	-52.2250776715138	0	0
AT5G01600.1	879.387167829097	-2.75781305954516	0.0615198360084862	-44.8280300871534	0	0
AT5G54270.1	20138.7663648779	-0.883635859260734	0.0186533121319581	-47.3715259257808	0	0
AT5G66570.1	31319.7770472787	-0.666824057246785	0.012258932648247	-54.3949523486566	0	0
